"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","0.090309","0.091562","0.091881","0.089699","301.70M","-1.37%"
"10/21/2023","0.091562","0.090738","0.091825","0.090522","287.31M","0.91%"
"10/20/2023","0.090738","0.089976","0.092020","0.089875","404.77M","0.85%"
"10/19/2023","0.089978","0.089151","0.089978","0.088424","294.48M","0.95%"
"10/18/2023","0.089135","0.088598","0.089475","0.088439","321.09M","0.60%"
"10/17/2023","0.088600","0.088866","0.088907","0.087511","293.43M","-0.30%"
"10/16/2023","0.088866","0.086669","0.090135","0.086609","407.93M","2.53%"
"10/15/2023","0.086677","0.085021","0.086747","0.084812","176.58M","1.95%"
"10/14/2023","0.085021","0.085494","0.085762","0.085014","170.93M","-0.55%"
"10/13/2023","0.085494","0.084812","0.085778","0.084761","197.61M","0.80%"
"10/12/2023","0.084819","0.086033","0.086531","0.084764","234.29M","-1.41%"
"10/11/2023","0.086033","0.086221","0.086559","0.085601","284.17M","-0.22%"
"10/10/2023","0.086221","0.086131","0.086628","0.086015","196.91M","0.11%"
"10/09/2023","0.086130","0.087964","0.088308","0.085409","265.61M","-2.08%"
"10/08/2023","0.087959","0.088079","0.088371","0.087440","132.13M","-0.14%"
"10/07/2023","0.088079","0.087226","0.088392","0.087116","202.83M","0.99%"
"10/06/2023","0.087219","0.088236","0.088914","0.085331","385.19M","-1.14%"
"10/05/2023","0.088228","0.088904","0.089502","0.088171","249.79M","-0.77%"
"10/04/2023","0.088909","0.090861","0.090861","0.088212","329.73M","-2.15%"
"10/03/2023","0.090861","0.087443","0.090999","0.087338","368.12M","3.90%"
"10/02/2023","0.087452","0.090082","0.090360","0.087328","313.08M","-2.92%"
"10/01/2023","0.090079","0.088600","0.090418","0.087957","216.70M","1.67%"
"09/30/2023","0.088600","0.089120","0.089391","0.088402","164.29M","-0.58%"
"09/29/2023","0.089120","0.086745","0.089830","0.086736","369.67M","2.74%"
"09/28/2023","0.086745","0.085481","0.086771","0.084429","269.20M","1.48%"
"09/27/2023","0.085483","0.084709","0.086000","0.084697","249.69M","0.90%"
"09/26/2023","0.084722","0.084651","0.084970","0.084171","197.43M","0.08%"
"09/25/2023","0.084651","0.083592","0.084799","0.083269","195.95M","1.27%"
"09/24/2023","0.083592","0.083620","0.084481","0.083431","159.78M","-0.03%"
"09/23/2023","0.083621","0.083340","0.083910","0.083191","152.45M","0.34%"
"09/22/2023","0.083340","0.083010","0.084343","0.082847","235.46M","0.40%"
"09/21/2023","0.083012","0.084431","0.084747","0.082764","291.87M","-1.68%"
"09/20/2023","0.084431","0.084549","0.085030","0.084140","208.96M","-0.13%"
"09/19/2023","0.084540","0.083897","0.084826","0.083740","224.84M","0.77%"
"09/18/2023","0.083897","0.083351","0.084781","0.083089","264.49M","0.65%"
"09/17/2023","0.083351","0.083512","0.083880","0.083060","191.46M","-0.19%"
"09/16/2023","0.083512","0.084039","0.084470","0.083289","220.64M","-0.63%"
"09/15/2023","0.084039","0.083769","0.084192","0.082941","322.05M","0.32%"
"09/14/2023","0.083769","0.081218","0.083952","0.080922","305.97M","3.14%"
"09/13/2023","0.081218","0.080732","0.081514","0.080247","308.53M","0.60%"
"09/12/2023","0.080733","0.077551","0.082755","0.077460","566.99M","4.10%"
"09/11/2023","0.077551","0.078310","0.078832","0.077027","306.08M","-0.97%"
"09/10/2023","0.078310","0.079170","0.079209","0.077795","203.75M","-1.09%"
"09/09/2023","0.079170","0.079154","0.079201","0.078691","133.66M","0.02%"
"09/08/2023","0.079155","0.079141","0.079480","0.078293","202.51M","0.03%"
"09/07/2023","0.079130","0.078930","0.079414","0.078693","256.02M","0.25%"
"09/06/2023","0.078930","0.077460","0.078959","0.077233","404.38M","1.90%"
"09/05/2023","0.077460","0.077509","0.077799","0.077048","224.92M","-0.06%"
"09/04/2023","0.077509","0.077029","0.077529","0.076699","227.09M","0.62%"
"09/03/2023","0.077029","0.077019","0.077122","0.076648","135.91M","0.01%"
"09/02/2023","0.077019","0.076081","0.077149","0.075981","170.42M","1.23%"
"09/01/2023","0.076081","0.076721","0.077507","0.075779","335.54M","-0.83%"
"08/31/2023","0.076721","0.075611","0.076978","0.075250","324.03M","1.47%"
"08/30/2023","0.075611","0.077312","0.077318","0.075440","291.58M","-2.21%"
"08/29/2023","0.077320","0.076342","0.077961","0.075903","335.22M","1.28%"
"08/28/2023","0.076342","0.077549","0.077579","0.076241","251.13M","-1.56%"
"08/27/2023","0.077549","0.077459","0.077590","0.077108","164.72M","0.12%"
"08/26/2023","0.077460","0.077224","0.077624","0.077152","171.17M","0.31%"
"08/25/2023","0.077222","0.076617","0.077346","0.076213","305.28M","0.80%"
"08/24/2023","0.076607","0.077600","0.077930","0.076182","268.27M","-1.28%"
"08/23/2023","0.077599","0.075471","0.077891","0.075460","319.11M","2.82%"
"08/22/2023","0.075471","0.075102","0.075591","0.074175","284.76M","0.49%"
"08/21/2023","0.075102","0.075911","0.076240","0.074086","312.90M","-1.06%"
"08/20/2023","0.075909","0.074082","0.076311","0.074020","229.78M","2.47%"
"08/19/2023","0.074082","0.072968","0.074187","0.072947","178.89M","1.53%"
"08/18/2023","0.072968","0.072648","0.073478","0.072006","325.49M","0.41%"
"08/17/2023","0.072673","0.074668","0.075479","0.071907","556.87M","-2.67%"
"08/16/2023","0.074671","0.076336","0.076768","0.074385","408.02M","-2.17%"
"08/15/2023","0.076330","0.077486","0.077528","0.076263","296.18M","-1.49%"
"08/14/2023","0.077486","0.077114","0.077608","0.077022","272.32M","0.47%"
"08/13/2023","0.077123","0.077510","0.077607","0.076981","237.35M","-0.48%"
"08/12/2023","0.077499","0.077238","0.077535","0.077193","181.90M","0.34%"
"08/11/2023","0.077238","0.077336","0.077506","0.076842","240.63M","-0.13%"
"08/10/2023","0.077336","0.076739","0.077535","0.076650","294.81M","0.78%"
"08/09/2023","0.076739","0.076795","0.077087","0.076208","350.39M","-0.07%"
"08/08/2023","0.076795","0.076856","0.077271","0.076257","367.45M","-0.08%"
"08/07/2023","0.076856","0.077011","0.077285","0.076047","346.73M","-0.20%"
"08/06/2023","0.077012","0.077517","0.077561","0.076672","271.63M","-0.65%"
"08/05/2023","0.077517","0.076793","0.077633","0.075821","354.44M","0.94%"
"08/04/2023","0.076792","0.077136","0.077857","0.076335","300.89M","-0.45%"
"08/03/2023","0.077138","0.076324","0.077532","0.076180","271.62M","1.06%"
"08/02/2023","0.076331","0.078673","0.078705","0.076308","363.76M","-2.97%"
"08/01/2023","0.078671","0.077913","0.078671","0.076650","421.56M","0.98%"
"07/31/2023","0.077908","0.079995","0.080351","0.077447","549.39M","-2.61%"
"07/30/2023","0.079995","0.083224","0.083746","0.079224","496.36M","-3.88%"
"07/29/2023","0.083224","0.085066","0.085308","0.083094","315.37M","-2.17%"
"07/28/2023","0.085070","0.082643","0.085424","0.082643","441.28M","2.94%"
"07/27/2023","0.082643","0.082408","0.083017","0.082048","406.95M","0.28%"
"07/26/2023","0.082409","0.081902","0.082520","0.080465","496.77M","0.62%"
"07/25/2023","0.081902","0.081484","0.082253","0.080177","450.84M","0.51%"
"07/24/2023","0.081487","0.083374","0.083374","0.080452","433.98M","-2.26%"
"07/23/2023","0.083369","0.083921","0.085030","0.082746","476.92M","-0.66%"
"07/22/2023","0.083922","0.080446","0.093934","0.080253","1.58B","4.32%"
"07/21/2023","0.080446","0.080731","0.081532","0.080436","355.75M","-0.35%"
"07/20/2023","0.080732","0.080304","0.081143","0.079926","461.92M","0.56%"
"07/19/2023","0.080282","0.079795","0.080466","0.079319","441.45M","0.61%"
"07/18/2023","0.079792","0.079965","0.080904","0.079043","393.10M","-0.22%"
"07/17/2023","0.079965","0.079792","0.080534","0.078988","415.30M","0.21%"
"07/16/2023","0.079795","0.080816","0.080932","0.078946","410.36M","-1.26%"
